GO:0004222	0.00017
GO:0050839	0.00096
GO:1901681	0.00099
GO:0016209	0.00184
GO:0048037	0.00187
GO:0003677	0.00290
GO:0022832	0.00418
GO:0070566	0.00431
GO:0005515	0.00521
GO:0005319	0.00611
GO:0043167	0.00793
GO:0043492	0.00801
GO:0004693	0.00846
GO:0022849	0.00905
GO:0004177	0.01011
GO:0042625	0.01352
GO:0016667	0.01369
GO:0015399	0.01457
GO:0005267	0.01535
GO:0097472	0.01551
GO:0016788	0.01566
GO:0017111	0.01632
GO:0016491	0.01633
GO:0003824	0.01798
GO:0098772	0.01913
GO:0000987	0.01928
GO:0008514	0.01952
GO:0022843	0.02091
GO:0008139	0.02232
GO:0031490	0.02300
GO:0034061	0.02683
GO:0051219	0.02722
GO:0019829	0.02829
GO:0004312	0.02930
GO:0016709	0.03103
GO:0015923	0.03543
GO:0031208	0.03602
GO:0042626	0.03694
GO:0000978	0.03820
GO:1901682	0.04117
GO:0005200	0.04123
GO:0008080	0.04629
GO:0005388	0.04949
GO:0005244	0.05091
GO:0008198	0.05126
GO:0046906	0.05133
GO:0140297	0.05713
GO:0042393	0.05922
GO:0015085	0.05927
GO:0005227	0.06013
GO:0001227	0.06081
GO:0015631	0.06212
